State,Industry Group,RoundClassDescr,Deals,Number of Deals,Raised
De Werven,Gebruik,Startup,10,2,0.1
De Hoven,Gebruik,Medium,9,1,1
De Meenten,Gebruik,Medium,8,1,2
De Grienden,Gebruik,Medium,7,1,3
De Marken,Gebruik,Large,6,1,4
De Gouwen,Gebruik,LLC,6,1,5
De Wierden,Gebruik,Startup,7,1,6
De Velden,Gebruik,Startup,8,1,7
Overgooi,Gebruik,Startup,9,1,8
De Steiger,Gebruik,Startup,2,1,9
Stichtsekant,Gebruik,Startup,3,1,10
Verspreide Huizen Almere-Haven,Gebruik,Startup,4,1,11
Centrum Almere-Haven,Gebruik,Startup,4,2,12
Centrum Almere-Stad,Gebruik,Startup,5,1,13
Filmwijk,Gebruik,Startup,6,1,14
Danswijk,Gebruik,Startup,7,1,15
Parkwijk,Gebruik,Startup,8,1,16
Verzetswijk,Gebruik,Startup,1,1,17
Waterwijk,Gebruik,Startup,2,1,18
Tussen de Vaarten Noord,Gebruik,Startup,3,1,19
Tussen de Vaarten Zuid,Gebruik,Startup,1,1,20
Staatsliedenwijk,Gebruik,Startup,1,1,21
Kruidenwijk,Gebruik,Startup,1,1,22
Stedenwijk,Gebruik,Startup,1,1,23
Muziekwijk Noord,Gebruik,Startup,1,1,24
Muziekwijk Zuid,Gebruik,Startup,1,1,25
Literatuurwijk,Gebruik,Startup,1,1,26
Noorderplassen,Gebruik,Startup,1,1,27
Randstad,Gebruik,Startup,1,2,28
Markerkant,Gebruik,Startup,4,1,29
Hollandsekant,Gebruik,Startup,1,1,30
Gooisekant,Gebruik,Startup,1,1,31
Veluwsekant,Gebruik,Startup,1,1,31
Sallandsekant,Gebruik,Startup,1,1,33
Verspreide huizen Almere-Stad,Gebruik,Startup,1,1,34
Centrum Almere-Buiten,Gebruik,Startup,1,2,35
Oostvaardersbuurt,Gebruik,Startup,1,1,36
Seizoenenbuurt,Gebruik,Startup,1,1,37
Molenbuurt,Gebruik,Startup,1,1,38
Bouwmeesterbuurt,Gebruik,Startup,1,1,39
Landgoederenbuurt,Gebruik,Startup,1,1,40
Faunabuurt,Gebruik,Medium,1,1,19
Bloemenbuurt,Gebruik,Medium,1,1,49
Regenboogbuurt,Gebruik,Large,1,1,39
Indischebuurt,Gebruik,Large,1,1,29
Eilandenbuurt,Gebruik,Large,1,1,21
Stripheldenbuurt,Gebruik,Startup,1,1,9.93
Sieradenbuurt,Gebruik,Startup,1,1,92
Poldervlak,Gebruik,Startup,1,1,27
De Vaart,Gebruik,Startup,1,1,12
Buitenvaart,Gebruik,Startup,1,1,12
Verspreide huizen Almere-Buiten,Gebruik,Startup,1,1,77
Europakwartier,Gebruik,Startup,1,1,9,49
Columbuskwartier,Gebruik,Startup,1,1,9,39
Homeruskwartier,Gebruik,Startup,1,1,29
Olympiakwartier,Gebruik,Startup,1,1,19
Hogekant,Gebruik,Startup,1,1,20
Middenkant,Gebruik,Startup,1,1,20
Lagekant,Gebruik,Startup,1,1,90
Verspreide huizen Almere-Poort,Gebruik,Startup,1,1,80
Vogelhorst,Gebruik,Startup,1,1,50
Verspreide huizen Almere-Hout,Gebruik,Startup,1,1,100
Verspreide huizen Almere-Pampus,Gebruik,Startup,1,1,200
