State,Industry Group,RoundClassDescr,Deals,Number of Deals,Raised
De Werven,Omgeving,Startup,10,2,9.93
De Hoven,Omgeving,Medium,9,1,40.03
De Meenten,Omgeving,Medium,8,1,20
De Grienden,Omgeving,Medium,7,1,9
De Marken,Omgeving,Large,6,1,9
De Gouwen,Omgeving,LLC,6,1,9
De Wierden,Omgeving,Startup,7,1,9
De Velden,Omgeving,Startup,8,1,9
Overgooi,Omgeving,Startup,9,1,12
De Steiger,Omgeving,Startup,2,1,50
Stichtsekant,Omgeving,Startup,3,1,50
Verspreide Huizen Almere-Haven,Omgeving,Startup,4,1,103
Centrum Almere-Haven,Omgeving,Startup,4,2,12
Centrum Almere-Stad,Omgeving,Startup,5,1,93
Filmwijk,Omgeving,Startup,6,1,93
Danswijk,Omgeving,Startup,7,1,93
Parkwijk,Omgeving,Startup,8,1,93
Verzetswijk,Omgeving,Startup,1,1,193
Waterwijk,Omgeving,Startup,2,1,93
Tussen de Vaarten Noord,Omgeving,Startup,3,1,93
Tussen de Vaarten Zuid,Omgeving,Startup,1,1,93
Staatsliedenwijk,Omgeving,Startup,1,1,93
Kruidenwijk,Omgeving,Startup,1,1,38
Stedenwijk,Omgeving,Startup,1,1,32
Muziekwijk Noord,Omgeving,Startup,1,1,9,93
Muziekwijk Zuid,Omgeving,Startup,1,1,9,93
Literatuurwijk,Omgeving,Startup,1,1,9,93
Noorderplassen,Omgeving,Startup,1,1,9.93
Randstad,Omgeving,Startup,1,2,9.93
Markerkant,Omgeving,Startup,4,1,9.93
Hollandsekant,Omgeving,Startup,1,1,9
Gooisekant,Omgeving,Startup,1,1,9
Veluwsekant,Omgeving,Startup,1,1,29.93
Sallandsekant,Omgeving,Startup,1,1,19
Verspreide huizen Almere-Stad,Omgeving,Startup,1,1,33
Centrum Almere-Buiten,Omgeving,Startup,1,2,1
Oostvaardersbuurt,Omgeving,Startup,1,1,9
Seizoenenbuurt,Omgeving,Startup,1,1,52
Molenbuurt,Omgeving,Startup,1,1,21
Bouwmeesterbuurt,Omgeving,Startup,1,1,12
Landgoederenbuurt,Omgeving,Startup,1,1,29
Faunabuurt,Omgeving,Medium,1,1,19
Bloemenbuurt,Omgeving,Medium,1,1,49
Regenboogbuurt,Omgeving,Large,1,1,39
Indischebuurt,Omgeving,Large,1,1,29
Eilandenbuurt,Omgeving,Large,1,1,21
Stripheldenbuurt,Omgeving,Startup,1,1,9.93
Sieradenbuurt,Omgeving,Startup,1,1,92
Poldervlak,Omgeving,Startup,1,1,27
De Vaart,Omgeving,Startup,1,1,12
Buitenvaart,Omgeving,Startup,1,1,12
Verspreide huizen Almere-Buiten,Omgeving,Startup,1,1,77
Europakwartier,Omgeving,Startup,1,1,9,49
Columbuskwartier,Omgeving,Startup,1,1,9,39
Homeruskwartier,Omgeving,Startup,1,1,9,29
Olympiakwartier,Omgeving,Startup,1,1,9,19
Hogekant,Omgeving,Startup,1,1,9,9
Middenkant,Omgeving,Startup,1,1,9,9
Lagekant,Omgeving,Startup,1,1,9,9
Verspreide huizen Almere-Poort,Omgeving,Startup,1,1,9,9
Vogelhorst,Omgeving,Startup,1,1,9,9
Verspreide huizen Almere-Hout,Omgeving,Startup,1,1,12
Verspreide huizen Almere-Pampus,Omgeving,Startup,1,1,9.93
