State,Industry Group,RoundClassDescr,Deals,Number of Deals,Raised
De Werven,Planning,Startup,10,2,9.93
De Hoven,Planning,Medium,9,1,40.03
De Meenten,Planning,Medium,8,1,20
De Grienden,Planning,Medium,7,1,9
De Marken,Planning,Large,6,1,9
De Gouwen,Planning,LLC,6,1,9
De Wierden,Planning,Startup,7,1,9
De Velden,Planning,Startup,8,1,9
Overgooi,Planning,Startup,9,1,12
De Steiger,Planning,Startup,2,1,50
Stichtsekant,Planning,Startup,3,1,50
Verspreide Huizen Almere-Haven,Planning,Startup,4,1,103
Centrum Almere-Haven,Planning,Startup,4,2,12
Centrum Almere-Stad,Planning,Startup,5,1,93
Filmwijk,Planning,Startup,6,1,93
Danswijk,Planning,Startup,7,1,93
Parkwijk,Planning,Startup,8,1,93
Verzetswijk,Planning,Startup,1,1,193
Waterwijk,Planning,Startup,2,1,93
Tussen de Vaarten Noord,Planning,Startup,3,1,93
Tussen de Vaarten Zuid,Planning,Startup,1,1,93
Staatsliedenwijk,Planning,Startup,1,1,93
Kruidenwijk,Planning,Startup,1,1,38
Stedenwijk,Planning,Startup,1,1,32
Muziekwijk Noord,Planning,Startup,1,1,9,93
Muziekwijk Zuid,Planning,Startup,1,1,9,93
Literatuurwijk,Planning,Startup,1,1,9,93
Noorderplassen,Planning,Startup,1,1,9.93
Randstad,Planning,Startup,1,2,9.93
Markerkant,Planning,Startup,4,1,9.93
Hollandsekant,Planning,Startup,1,1,9
Gooisekant,Planning,Startup,1,1,9
Veluwsekant,Planning,Startup,1,1,29.93
Sallandsekant,Planning,Startup,1,1,19
Verspreide huizen Almere-Stad,Planning,Startup,1,1,33
Centrum Almere-Buiten,Planning,Startup,1,2,1
Oostvaardersbuurt,Planning,Startup,1,1,9
Seizoenenbuurt,Planning,Startup,1,1,52
Molenbuurt,Planning,Startup,1,1,21
Bouwmeesterbuurt,Planning,Startup,1,1,12
Landgoederenbuurt,Planning,Startup,1,1,29
Faunabuurt,Planning,Medium,1,1,19
Bloemenbuurt,Planning,Medium,1,1,49
Regenboogbuurt,Planning,Large,1,1,39
Indischebuurt,Planning,Large,1,1,29
Eilandenbuurt,Planning,Large,1,1,21
Stripheldenbuurt,Planning,Startup,1,1,9.93
Sieradenbuurt,Planning,Startup,1,1,92
Poldervlak,Planning,Startup,1,1,27
De Vaart,Planning,Startup,1,1,12
Buitenvaart,Planning,Startup,1,1,12
Verspreide huizen Almere-Buiten,Planning,Startup,1,1,77
Europakwartier,Planning,Startup,1,1,9,49
Columbuskwartier,Planning,Startup,1,1,9,39
Homeruskwartier,Planning,Startup,1,1,9,29
Olympiakwartier,Planning,Startup,1,1,9,19
Hogekant,Planning,Startup,1,1,9,9
Middenkant,Planning,Startup,1,1,9,9
Lagekant,Planning,Startup,1,1,9,9
Verspreide huizen Almere-Poort,Planning,Startup,1,1,9,9
Vogelhorst,Planning,Startup,1,1,9,9
Verspreide huizen Almere-Hout,Planning,Startup,1,1,12
Verspreide huizen Almere-Pampus,Planning,Startup,1,1,9.93
