State,Industry Group,RoundClassDescr,Deals,Number of Deals,Raised
De Werven,Tevredenheid,Startup,10,2,1
De Hoven,Tevredenheid,Medium,9,1,1
De Meenten,Tevredenheid,Medium,8,1,40
De Grienden,Tevredenheid,Medium,7,1,30
De Marken,Tevredenheid,Large,6,1,20
De Gouwen,Tevredenheid,LLC,6,1,10
De Wierden,Tevredenheid,Startup,7,1,1
De Velden,Tevredenheid,Startup,8,1,1
Overgooi,Tevredenheid,Startup,9,1,1
De Steiger,Tevredenheid,Startup,2,1,1
Stichtsekant,Tevredenheid,Startup,3,1,1
Verspreide Huizen Almere-Haven,Tevredenheid,Startup,4,1,60
Centrum Almere-Haven,Tevredenheid,Startup,4,2,1
Centrum Almere-Stad,Tevredenheid,Startup,5,1,1
Filmwijk,Tevredenheid,Startup,6,1,1
Danswijk,Tevredenheid,Startup,7,1,1
Parkwijk,Tevredenheid,Startup,8,1,1
Verzetswijk,Tevredenheid,Startup,1,1,1
Waterwijk,Tevredenheid,Startup,2,1,1
Tussen de Vaarten Noord,Tevredenheid,Startup,3,1,1
Tussen de Vaarten Zuid,Tevredenheid,Startup,1,1,1
Staatsliedenwijk,Tevredenheid,Startup,1,1,1
Kruidenwijk,Tevredenheid,Startup,1,1,1
Stedenwijk,Tevredenheid,Startup,1,1,1
Muziekwijk Noord,Tevredenheid,Startup,1,1,9
Muziekwijk Zuid,Tevredenheid,Startup,1,1,9
Literatuurwijk,Tevredenheid,Startup,1,1,1
Noorderplassen,Tevredenheid,Startup,1,1,1
Randstad,Tevredenheid,Startup,1,2,1
Markerkant,Tevredenheid,Startup,4,1,1
Hollandsekant,Tevredenheid,Startup,1,1,1
Gooisekant,Tevredenheid,Startup,1,1,1
Veluwsekant,Tevredenheid,Startup,1,1,1
Sallandsekant,Tevredenheid,Startup,1,1,1
Verspreide huizen Almere-Stad,Tevredenheid,Startup,1,1,190
Centrum Almere-Buiten,Tevredenheid,Startup,1,1,1
Oostvaardersbuurt,Tevredenheid,Startup,1,1,1
Seizoenenbuurt,Tevredenheid,Startup,1,1,1
Molenbuurt,Tevredenheid,Startup,1,1,1
Bouwmeesterbuurt,Tevredenheid,Startup,1,1,1
Landgoederenbuurt,Tevredenheid,Startup,1,1,1
Faunabuurt,Tevredenheid,Medium,1,1,1
Bloemenbuurt,Tevredenheid,Medium,1,1,1
Regenboogbuurt,Tevredenheid,Large,1,1,1
Indischebuurt,Tevredenheid,Large,1,1,1
Eilandenbuurt,Tevredenheid,Large,1,1,1
Stripheldenbuurt,Tevredenheid,Startup,1,1,1
Sieradenbuurt,Tevredenheid,Startup,1,1,1
Poldervlak,Tevredenheid,Startup,1,1,1
De Vaart,Tevredenheid,Startup,1,1,1
Buitenvaart,Tevredenheid,Startup,1,1,1
Verspreide huizen Almere-Buiten,Tevredenheid,Startup,1,1,80
Europakwartier,Tevredenheid,Startup,1,1,1
Columbuskwartier,Tevredenheid,Startup,1,1,1
Homeruskwartier,Tevredenheid,Startup,1,1,1
Olympiakwartier,Tevredenheid,Startup,1,1,1
Hogekant,Tevredenheid,Startup,1,1,1
Middenkant,Tevredenheid,Startup,1,1,1
Lagekant,Tevredenheid,Startup,1,1,1
Verspreide huizen Almere-Poort,Tevredenheid,Startup,1,1,1
Vogelhorst,Tevredenheid,Startup,1,1,1
Verspreide huizen Almere-Hout,Tevredenheid,Startup,1,1,1
Verspreide huizen Almere-Pampus,Tevredenheid,Startup,1,1,1
