State,Industry Group,RoundClassDescr,Deals,Number of Deals,Raised
De Werven,Tevredenheid,Startup,9,1,41
De Werven,Toestand,Startup,9,1,41
De Werven,Omgeving,Startup,9,1,41
De Werven,Gebruik,Startup,9,1,41
De Werven,Planning,Startup,9,1,41
De Hoven,Tevredenheid,Medium,9,1,41
De Hoven,Toestand,Medium,9,1,410
De Hoven,Omgeving,Medium,9,1,41
De Hoven,Gebruik ,Medium,9,1,41
De Hoven,Planning,Medium,9,1,41
De Meenten,Tevredenheid,Medium,8,1,1
De Meenten,Toestand,Medium,8,1,110
De Meenten,Omgeving,Medium,8,1,1
De Meenten,Gebruik ,Medium,8,1,1
De Meenten,Planning,Medium,8,1,1
De Grienden,Tevredenheid,Medium,71,1,1
De Grienden,Toestand,Medium,71,1,1
De Grienden,Omgeving,Medium,71,1,1
De Grienden,Gebruik ,Medium,71,1,1
De Grienden,Planning,Medium,71,1,1
De Marken,Tevredenheid,Large,61,1,1
De Marken,Toestand,Large,61,1,1
De Marken,Omgeving,Large,61,1,1
De Marken,Gebruik ,Large,61,1,1
De Marken,Planning,Large,61,1,1
De Gouwen,Tevredenheid,LLC,61,1,1
De Gouwen,Toestand,LLC,61,1,1
De Gouwen,Omgeving,LLC,61,1,1
De Gouwen,Gebruik ,LLC,61,1,1
De Gouwen,Planning,LLC,61,1,1
De Wierden,Tevredenheid,Startup,71,1,1
De Wierden,Toestand,Startup,71,1,1
De Wierden,Omgeving,Startup,71,1,1
De Wierden,Gebruik ,Startup,71,1,1
De Wierden,Planning,Startup,71,1,1
De Velden,Tevredenheid,Startup,81,1,1
De Velden,Toestand,Startup,81,1,100
De Velden,Omgeving,Startup,81,1,1
De Velden,Gebruik ,Startup,81,1,1
De Velden,Planning,Startup,81,1,1
Overgooi,Tevredenheid,Startup,9,1,1
Overgooi,Toestand,Startup,9,1,1
Overgooi,Omgeving,Startup,9,1,1
Overgooi,Gebruik ,Startup,9,1,1
Overgooi,Planning,Startup,9,1,1
De Steiger,Tevredenheid,Startup,2,1,1
De Steiger,Toestand,Startup,2,11,1
De Steiger,Omgeving,Startup,2,1,1
De Steiger,Gebruik ,Startup,2,1,1
De Steiger,Planning,Startup,2,1,1
Stichtsekant,Tevredenheid,Startup,3,1,1
Stichtsekant,Toestand,Startup,3,11,1
Stichtsekant,Omgeving,Startup,3,11,1
Stichtsekant,Gebruik ,Startup,3,11,1
Stichtsekant,Planning,Startup,3,11,1
Verspreide Huizen Almere-Haven,Tevredenheid,Startup,4,11,1
Verspreide Huizen Almere-Haven,Toestand,Startup,4,11,1
Verspreide Huizen Almere-Haven,Omgeving,Startup,4,11,1
Verspreide Huizen Almere-Haven,Gebruik ,Startup,4,11,100
Verspreide Huizen Almere-Haven,Planning,Startup,4,11,1
Centrum Almere-Haven,Tevredenheid,Startup,4,1,1
Centrum Almere-Haven,Toestand,Startup,4,1,100
Centrum Almere-Haven,Omgeving,Startup,4,1,1
Centrum Almere-Haven,Gebruik ,Startup,4,1,1
Centrum Almere-Haven,Planning,Startup,4,1,1
Centrum Almere-Stad,Tevredenheid,Startup,5,1,1
Centrum Almere-Stad,Toestand,Startup,5,1,1
Centrum Almere-Stad,Omgeving,Startup,5,1,1
Centrum Almere-Stad,Gebruik ,Startup,5,1,1
Centrum Almere-Stad,Planning,Startup,5,1,1
Filmwijk,Tevredenheid,Startup,6,1,1
Filmwijk,Toestand,Startup,6,1,400
Filmwijk,Omgeving,Startup,6,1,300
