State,Industry Group,RoundClassDescr,Deals,Number of Deals,Raised
De Werven,Tevredenheid,Startup,10,2,9.93
De Hoven,Tevredenheid,Medium,9,1,40.03
De Meenten,Tevredenheid,Medium,8,1,20
De Grienden,Tevredenheid,Medium,7,1,9
De Marken,Tevredenheid,Large,6,1,9
De Gouwen,Tevredenheid,LLC,6,1,9
De Wierden,Tevredenheid,Startup,7,1,9
De Velden,Tevredenheid,Startup,8,1,9
Overgooi,Tevredenheid,Startup,9,1,12
De Steiger,Tevredenheid,Startup,2,1,50
Stichtsekant,Tevredenheid,Startup,3,1,50
Verspreide Huizen Almere-Haven,Tevredenheid,Startup,4,1,103
Centrum Almere-Haven,Tevredenheid,Startup,4,2,12
Centrum Almere-Stad,Tevredenheid,Startup,5,1,93
Filmwijk,Water,Startup,6,1,93
Danswijk,Water,Startup,7,1,93
Parkwijk,Water,Startup,8,1,93
Verzetswijk,Education,Startup,1,1,193
Waterwijk,Tevredenheid,Startup,2,1,93
Tussen de Vaarten Noord,Tevredenheid,Startup,3,1,93
Tussen de Vaarten Zuid,Tevredenheid,Startup,1,1,93
Staatsliedenwijk,Tevredenheid,Startup,1,1,93
Kruidenwijk,Tevredenheid,Startup,1,1,38
Stedenwijk,Tevredenheid,Startup,1,1,32
Muziekwijk Noord,Tevredenheid,Startup,1,1,9,93
Muziekwijk Zuid,Tevredenheid,Startup,1,1,9,93
Literatuurwijk,Tevredenheid,Startup,1,1,9,93
Noorderplassen,Tevredenheid,Startup,1,1,9.93
Randstad,Tevredenheid,Startup,1,2,9.93
Markerkant,Tevredenheid,Startup,4,1,9.93
Hollandsekant,Tevredenheid,Startup,1,1,9
Gooisekant,Tevredenheid,Startup,1,1,9
Veluwsekant,Tevredenheid,Startup,1,1,29.93
Sallandsekant,Tevredenheid,Startup,1,1,19
Verspreide huizen Almere-Stad,Tevredenheid,Startup,1,1,33
Centrum Almere-Buiten,Tevredenheid,Startup,1,2,1
Oostvaardersbuurt,Tevredenheid,Startup,1,1,9
Seizoenenbuurt,Tevredenheid,Startup,1,1,52
Molenbuurt,Tevredenheid,Startup,1,1,21
Bouwmeesterbuurt,Tevredenheid,Startup,1,1,12
Landgoederenbuurt,Tevredenheid,Startup,1,1,29
Faunabuurt,Tevredenheid,Medium,1,1,19
Bloemenbuurt,Tevredenheid,Medium,1,1,49
Regenboogbuurt,Tevredenheid,Large,1,1,39
Indischebuurt,Tevredenheid,Large,1,1,29
Eilandenbuurt,Tevredenheid,Large,1,1,21
Stripheldenbuurt,Tevredenheid,Startup,1,1,9.93
Sieradenbuurt,Tevredenheid,Startup,1,1,92
Poldervlak,Tevredenheid,Startup,1,1,27
De Vaart,Tevredenheid,Startup,1,1,12
Buitenvaart,Tevredenheid,Startup,1,1,12
Verspreide huizen Almere-Buiten,Tevredenheid,Startup,1,1,77
Europakwartier,Tevredenheid,Startup,1,1,9,49
Columbuskwartier,Tevredenheid,Startup,1,1,9,39
Homeruskwartier,Tevredenheid,Startup,1,1,9,29
Olympiakwartier,Tevredenheid,Startup,1,1,9,19
Hogekant,Tevredenheid,Startup,1,1,9,9
Middenkant,Tevredenheid,Startup,1,1,9,9
Lagekant,Tevredenheid,Startup,1,1,9,9
Verspreide huizen Almere-Poort,Tevredenheid,Startup,1,1,9,9
Vogelhorst,Tevredenheid,Startup,1,1,9,9
Verspreide huizen Almere-Hout,Tevredenheid,Startup,1,1,12
Verspreide huizen Almere-Pampus,Tevredenheid,Startup,1,1,9.93
