ID_PI,KPI,PI,Gebied,Eenheid,Ref_value_month_2,Ref_value_month_0,Ref_value_month_minus2,Date,Value,Score,Abs,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Jan/09,NULL,6.1,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Feb/09,NULL,4.8,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Mar/09,NULL,6.4,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Apr/09,NULL,2.8,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,May/09,NULL,6.0,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Jun/09,NULL,3.7,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Jul/09,NULL,1.2,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Aug/09,NULL,4.8,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Sep/09,NULL,9.5,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Oct/09,NULL,2.1,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Nov/09,NULL,5.6,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Dec/09,NULL,9.8,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Jan/10,NULL,4.1,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Feb/10,NULL,3.2,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Mar/10,NULL,9.7,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Apr/10,NULL,7.1,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,May/10,NULL,3.6,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Jun/10,NULL,9.8,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Jul/10,NULL,7.0,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Aug/10,NULL,6.0,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Sep/10,NULL,1.6,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Oct/10,NULL,7.1,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Nov/10,NULL,8.7,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Dec/10,NULL,2.4,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Jan/11,NULL,9.6,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Feb/11,NULL,6.2,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Mar/11,NULL,0.5,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Apr/11,NULL,7.2,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,May/11,NULL,0.9,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Jun/11,NULL,5.5,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Jul/11,NULL,3.4,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Aug/11,NULL,1.8,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Sep/11,NULL,7.6,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Oct/11,NULL,7.5,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Nov/11,NULL,0.7,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Dec/11,NULL,7.1,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Jan/12,NULL,0.3,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Feb/12,NULL,9.0,NULL,
42,GEBRUIK,Hoge vervuilingsgraad - Meldingen zuivering [dummy],Haven,aantal/maand,NULL,NULL,NULL,Mar/12,NULL,0.7,NULL,
