ID_PI,KPI,Gebied,Date,Value
1,TEVREDENHEID,Almere,Jan/09,8.7
1,TEVREDENHEID,Almere,Feb/09,8.7
1,TEVREDENHEID,Almere,Mar/09,8.7
1,TEVREDENHEID,Almere,Apr/09,8.7
1,TEVREDENHEID,Almere,May/09,8.7
1,TEVREDENHEID,Almere,Jun/09,8.7
1,TEVREDENHEID,Almere,Jul/09,8.7
1,TEVREDENHEID,Almere,Aug/09,8.7
1,TEVREDENHEID,Almere,Sep/09,8.7
1,TEVREDENHEID,Almere,Oct/09,8.7
1,TEVREDENHEID,Almere,Nov/09,8.7
1,TEVREDENHEID,Almere,Dec/09,8.7
1,TEVREDENHEID,Buiten,Jan/09,8.7
1,TEVREDENHEID,Buiten,Feb/09,8.7
1,TEVREDENHEID,Buiten,Mar/09,8.7
1,TEVREDENHEID,Buiten,Apr/09,8.7
1,TEVREDENHEID,Buiten,May/09,8.7
1,TEVREDENHEID,Buiten,Jun/09,8.7
1,TEVREDENHEID,Buiten,Jul/09,8.7
1,TEVREDENHEID,Buiten,Aug/09,8.7
1,TEVREDENHEID,Buiten,Sep/09,8.7
1,TEVREDENHEID,Buiten,Oct/09,8.7
1,TEVREDENHEID,Buiten,Nov/09,8.7
1,TEVREDENHEID,Buiten,Dec/09,8.7
1,TEVREDENHEID,Haven,Jan/09,8.7
1,TEVREDENHEID,Haven,Feb/09,8.7
1,TEVREDENHEID,Haven,Mar/09,8.7
1,TEVREDENHEID,Haven,Apr/09,8.7
1,TEVREDENHEID,Haven,May/09,8.7
1,TEVREDENHEID,Haven,Jun/09,8.7
1,TEVREDENHEID,Haven,Jul/09,8.7
1,TEVREDENHEID,Haven,Aug/09,8.7
1,TEVREDENHEID,Haven,Sep/09,8.7
1,TEVREDENHEID,Haven,Oct/09,8.7
1,TEVREDENHEID,Haven,Nov/09,8.7
1,TEVREDENHEID,Haven,Dec/09,8.7
1,TEVREDENHEID,Pampus,Jan/09,8.7
1,TEVREDENHEID,Pampus,Feb/09,8.7
1,TEVREDENHEID,Pampus,Mar/09,8.7
1,TEVREDENHEID,Pampus,Apr/09,8.7
1,TEVREDENHEID,Pampus,May/09,8.7
1,TEVREDENHEID,Pampus,Jun/09,8.7
1,TEVREDENHEID,Pampus,Jul/09,8.7
1,TEVREDENHEID,Pampus,Aug/09,8.7
1,TEVREDENHEID,Pampus,Sep/09,8.7
1,TEVREDENHEID,Pampus,Oct/09,8.7
1,TEVREDENHEID,Pampus,Nov/09,8.7
1,TEVREDENHEID,Pampus,Dec/09,8.7
1,TEVREDENHEID,Poort,Jan/09,8.7
1,TEVREDENHEID,Poort,Feb/09,8.7
1,TEVREDENHEID,Poort,Mar/09,8.7
1,TEVREDENHEID,Poort,Apr/09,8.7
1,TEVREDENHEID,Poort,May/09,8.7
1,TEVREDENHEID,Poort,Jun/09,8.7
1,TEVREDENHEID,Poort,Jul/09,8.7
1,TEVREDENHEID,Poort,Aug/09,8.7
1,TEVREDENHEID,Poort,Sep/09,8.7
1,TEVREDENHEID,Poort,Oct/09,8.7
1,TEVREDENHEID,Poort,Nov/09,8.7
1,TEVREDENHEID,Poort,Dec/09,8.7
1,TEVREDENHEID,Stad,Jan/09,8.7
1,TEVREDENHEID,Stad,Feb/09,8.7
1,TEVREDENHEID,Stad,Mar/09,8.7
1,TEVREDENHEID,Stad,Apr/09,8.7
1,TEVREDENHEID,Stad,May/09,8.7
1,TEVREDENHEID,Stad,Jun/09,8.7
1,TEVREDENHEID,Stad,Jul/09,8.7
1,TEVREDENHEID,Stad,Aug/09,8.7
1,TEVREDENHEID,Stad,Sep/09,8.7
1,TEVREDENHEID,Stad,Oct/09,8.7
1,TEVREDENHEID,Stad,Nov/09,8.7
1,TEVREDENHEID,Stad,Dec/09,8.7
1,TEVREDENHEID,Hout,Jan/09,8.7
1,TEVREDENHEID,Hout,Feb/09,8.7
1,TEVREDENHEID,Hout,Mar/09,8.7
1,TEVREDENHEID,Hout,Apr/09,8.7
1,TEVREDENHEID,Hout,May/09,8.7
1,TEVREDENHEID,Hout,Jun/09,8.7
1,TEVREDENHEID,Hout,Jul/09,8.7
1,TEVREDENHEID,Hout,Aug/09,8.7
1,TEVREDENHEID,Hout,Sep/09,8.7
1,TEVREDENHEID,Hout,Oct/09,8.7
1,TEVREDENHEID,Hout,Nov/09,8.7
1,TEVREDENHEID,Hout,Dec/09,8.7
1,TEVREDENHEID,Poort,Jan/09,8.7
1,TEVREDENHEID,Poort,Feb/09,8.7
1,TEVREDENHEID,Poort,Mar/09,8.7
1,TEVREDENHEID,Poort,Apr/09,8.7
1,TEVREDENHEID,Poort,May/09,8.7
1,TEVREDENHEID,Poort,Jun/09,8.7
1,TEVREDENHEID,Poort,Jul/09,8.7
1,TEVREDENHEID,Poort,Aug/09,8.7
1,TEVREDENHEID,Poort,Sep/09,8.7
