ID_PI,KPI,PI,Gebied,Eenheid,Ref_value_year,Ref_value_month,total-2009,total-2010,total-2011,total-2012,total-2013,total-2014,Date,Value
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Jan/09,8.9
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Feb/09,7.3
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Mar/09,2.6
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Apr/09,9.7
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,May/09,2.8
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Jun/09,5.1
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Jul/09,3.1
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Aug/09,7.8
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Sep/09,2.4
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Oct/09,2.6
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Nov/09,5.8
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Dec/09,5.8
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Jan/10,4.1
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Feb/10,1.9
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Mar/10,6.4
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Apr/10,8.1
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,May/10,1.9
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Jun/10,1.0
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Jul/10,3.9
