ID_PI,KPI,PI,Gebied,Eenheid,Ref_value_month_2,Ref_value_month_0,Ref_value_month_minus2,Date,Value,Score
33,PLANREALISATIE,Energieverbruik gemalen,Haven,kWh per dag,NULL,NULL,NULL,Jan/09,NULL,NULL
33,PLANREALISATIE,Energieverbruik gemalen,Haven,kWh per dag,NULL,NULL,NULL,Feb/09,NULL,NULL
33,PLANREALISATIE,Energieverbruik gemalen,Haven,kWh per dag,NULL,NULL,NULL,Mar/09,NULL,NULL
33,PLANREALISATIE,Energieverbruik gemalen,Haven,kWh per dag,NULL,NULL,NULL,Apr/09,NULL,NULL
33,PLANREALISATIE,Energieverbruik gemalen,Haven,kWh per dag,NULL,NULL,NULL,May/09,NULL,NULL
33,PLANREALISATIE,Energieverbruik gemalen,Haven,kWh per dag,NULL,NULL,NULL,Jun/09,NULL,NULL
33,PLANREALISATIE,Energieverbruik gemalen,Haven,kWh per dag,NULL,NULL,NULL,Jul/09,NULL,NULL
33,PLANREALISATIE,Energieverbruik gemalen,Haven,kWh per dag,NULL,NULL,NULL,Aug/09,NULL,NULL
33,PLANREALISATIE,Energieverbruik gemalen,Haven,kWh per dag,NULL,NULL,NULL,Sep/09,NULL,NULL
33,PLANREALISATIE,Energieverbruik gemalen,Haven,kWh per dag,NULL,NULL,NULL,Oct/09,NULL,NULL
33,PLANREALISATIE,Energieverbruik gemalen,Haven,kWh per dag,NULL,NULL,NULL,Nov/09,NULL,NULL
33,PLANREALISATIE,Energieverbruik gemalen,Haven,kWh per dag,NULL,NULL,NULL,Dec/09,NULL,NULL
33,PLANREALISATIE,Energieverbruik gemalen,Haven,kWh per dag,NULL,NULL,NULL,Jan/10,NULL,NULL
33,PLANREALISATIE,Energieverbruik gemalen,Haven,kWh per dag,NULL,NULL,NULL,Feb/10,NULL,NULL
33,PLANREALISATIE,Energieverbruik gemalen,Haven,kWh per dag,NULL,NULL,NULL,Mar/10,NULL,NULL
33,PLANREALISATIE,Energieverbruik gemalen,Haven,kWh per dag,NULL,NULL,NULL,Apr/10,NULL,NULL
33,PLANREALISATIE,Energieverbruik gemalen,Haven,kWh per dag,NULL,NULL,NULL,May/10,NULL,NULL
33,PLANREALISATIE,Energieverbruik gemalen,Haven,kWh per dag,NULL,NULL,NULL,Jun/10,NULL,NULL
33,PLANREALISATIE,Energieverbruik gemalen,Haven,kWh per dag,NULL,NULL,NULL,Jul/10,NULL,NULL
