ID_PI,KPI,PI,Gebied,Eenheid,Ref_value_month_2,Ref_value_month_0,Ref_value_month_minus2,Date,Abs,Score,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Jan/09,,8.2,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Feb/09,,7.2,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Mar/09,,6.8,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Apr/09,,6.0,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,May/09,,6.0,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Jun/09,,8.7,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Jul/09,,6.5,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Aug/09,,6.3,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Sep/09,,6.7,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Oct/09,,8.2,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Nov/09,,7.1,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Dec/09,,6.6,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Jan/10,,6.2,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Feb/10,,8.5,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Mar/10,,6.1,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Apr/10,,6.9,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,May/10,,7.7,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Jun/10,,8.9,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Jul/10,,8.6,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Aug/10,,7.5,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Sep/10,,8.2,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Oct/10,,7.5,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Nov/10,,7.8,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Dec/10,,6.9,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Jan/11,,6.9,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Feb/11,,8.3,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Mar/11,,7.0,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Apr/11,,7.2,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,May/11,,9.1,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Jun/11,,6.0,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Jul/11,,6.6,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Aug/11,,7.4,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Sep/11,,6.4,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Oct/11,,8.5,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Nov/11,,7.4,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Dec/11,,7.7,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Jan/12,,8.4,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Feb/12,,8.6,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Mar/12,,6.4,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Apr/12,,7.9,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,May/12,,7.0,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Jun/12,,7.6,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Jul/12,,7.5,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Aug/12,,7.7,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Sep/12,,8.3,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Oct/12,,7.3,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Nov/12,,6.7,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Dec/12,,6.0,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Jan/13,,6.8,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Feb/13,,5.9,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Mar/13,,6.6,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Apr/13,,5.4,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,May/13,,5.2,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Jun/13,,5.5,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Jul/13,,6.5,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Aug/13,,5.8,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Sep/13,,4.6,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Oct/13,,4.8,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Nov/13,,4.8,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Dec/13,,4.2,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Jan/14,,4.6,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Feb/14,,5.6,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Mar/14,,4.4,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Apr/14,,5.8,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,May/14,,5.5,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Jun/14,,4.2,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Jul/14,,5.4,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Aug/14,,4.5,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Sep/14,,4.9,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Oct/14,,3.9,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Nov/14,,3.2,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Haven,Percentage gereinigd van gepland,100,50,0,Dec/14,,3.4,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Jan/09,,7.2,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Feb/09,,6.5,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Mar/09,,7.8,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Apr/09,,6.9,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,May/09,,8.5,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Jun/09,,8.3,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Jul/09,,6.4,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Aug/09,,7.3,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Sep/09,,7.8,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Oct/09,,8.1,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Nov/09,,6.5,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Dec/09,,7.0,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Jan/10,,8.2,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Feb/10,,7.0,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Mar/10,,6.2,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Apr/10,,6.9,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,May/10,,7.2,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Jun/10,,8.0,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Jul/10,,7.2,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Aug/10,,7.8,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Sep/10,,6.7,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Oct/10,,6.9,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Nov/10,,7.7,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Dec/10,,6.6,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Jan/11,,7.1,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Feb/11,,7.3,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Mar/11,,6.0,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Apr/11,,6.4,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,May/11,,9.6,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Jun/11,,6.8,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Jul/11,,7.6,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Aug/11,,6.5,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Sep/11,,6.9,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Oct/11,,7.4,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Nov/11,,7.2,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Dec/11,,7.8,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Jan/12,,6.5,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Feb/12,,6.6,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Mar/12,,6.4,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Apr/12,,7.4,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,May/12,,8.1,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Jun/12,,6.7,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Jul/12,,6.4,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Aug/12,,7.8,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Sep/12,,7.1,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Oct/12,,7.9,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Nov/12,,7.5,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Dec/12,,7.1,
38,PLANREALISATIE,Projecten - Afwijking planning en uitvoering - dummy,Stad,Percentage gereinigd van gepland,100,50,0,Jan/13,,6.4,
